P32_ALL,DIFFRACTION_ALL,INVERSION_AI,FAULTS,VREZY,TOLSCHI,FUNDAMENT,PROVODKA,DH_B_R0,DIFFRACTION_ALL_SM,MAX_DIFFRACTION,MIN_DIFFRACTION,STACK_MINUS_MAX_DIFFRACTION,STACK_MINUS_MIN_DIFFRACTION,STACK_MULT_MAX_DIFFRACTION,STACK_MULT_MIN_DIFFRACTION,PERV,INVERSION_AI_COLL,THICKNESS_R0_R4,RMS_AMPLITUDE,FAULTS_PROBABILITY,FAULTS_AND_FAULTS_PROBABILITY,WELL
3.4129931927,1.9322234392,19221.294922,1836.6483154,4992.5947266,849.58154297,11203.038086,80.920318604,193.37832642,1.7626378536,3.5539255142,0.3129077256,11.940771103,15.181789398,6.8890194893,0.6078685522,9.2397594452,19206.861328,255.72561646,3884414.25,290.85195923,290.85195923,0
3.9668791294,1.9242861271,19165.115234,1841.9534912,4997.3046875,853.48510742,11195.647461,81.293571472,192.94818115,1.7571299076,3.5665533543,0.2607952058,11.847616196,15.153373718,6.870926857,0.5116376877,9.2413005829,19147.595703,256.21893311,3596785.5,297.26196289,297.26196289,0
4.306974411,1.888007164,19106.453125,1847.2583008,5002.0595703,857.41870117,11188.257813,81.670288086,192.51745605,1.7513902187,3.5631921291,0.200372681,11.544496536,14.907316208,6.7242031097,0.3903362751,9.2454662323,19085.820313,256.71981812,3312788.25,303.68426514,303.68426514,0
4.5194821358,1.8501250744,19055.679688,1852.5430908,5006.6699219,861.56469727,11180.859375,82.22694397,192.09159851,1.7447686195,3.5755600929,0.2833302915,11.230594635,14.522825241,6.6154108047,0.5296560526,9.2755804062,19033.261719,257.22131348,3008841.0,309.99047852,309.99047852,0
4.6270699501,1.8046092987,19004.566406,1857.8271484,5011.2978516,865.78424072,11173.464844,82.785888672,191.66940308,1.737729311,3.577016592,0.4116488993,10.874073029,14.039442062,6.4648733139,0.7437255383,9.3182039261,18980.953125,257.73257446,2695002.75,316.26275635,316.26275635,0
4.6707444191,1.7459285259,18958.970703,1863.1541748,5015.9677734,870.02319336,11166.111328,83.374504089,191.26083374,1.7304615974,3.5180370808,0.4485673308,10.461771011,13.531242371,6.1736049652,0.8054277897,9.3488378525,18934.441406,258.25323486,2418793.0,322.61935425,322.61935425,0
4.6892728806,1.6840046644,18922.714844,1868.5203857,5020.4072266,874.38598633,11158.798828,83.970046997,190.89077759,1.7226145267,3.3819308281,0.2441293001,10.081329346,13.21913147,5.7546682358,0.4366449714,9.3346424103,18898.140625,258.75042725,2107400.25,329.13592529,329.13592529,0
4.5849323273,1.6021481752,18886.179688,1873.892334,5024.8876953,878.77282715,11151.490234,84.547676086,190.52081299,1.71463871,3.2342505455,0.0785514563,9.5555782318,12.711277008,5.2737541199,0.1394333243,9.3238105774,18861.53125,259.25927734,1825372.5,335.62304688,335.62304688,0
4.3078761101,1.5741968155,18844.544922,1879.3006592,5029.15625,883.25769043,11144.212891,84.998687744,190.17048645,1.7070569992,3.0651874542,0.1571882665,9.4894294739,12.397428513,4.921084404,0.2834374309,9.2873868942,18820.228516,259.76370239,1472063.5,342.42254639,342.42254639,0
3.9698832035,1.5935100317,18807.460938,1884.7089844,5033.3173828,887.82647705,11136.941406,85.443603516,189.83340454,1.6997485161,2.8940682411,0.354457438,9.8077821732,12.347393036,4.7035608292,0.6228148937,9.2322893143,18783.804688,260.24420166,1131657.875,349.36160278,349.36160278,0
3.6523628235,1.6091581583,18765.144531,1890.0849609,5037.5029297,892.45288086,11129.645508,85.810409546,189.50009155,1.6924362183,2.7236828804,0.5222063065,10.097724915,12.299201965,4.4812297821,0.884001255,9.1776180267,18742.205078,260.70050049,808677.125,356.24053955,356.24053955,0
3.4628443718,1.4884077311,18726.746094,1895.4493408,5041.5083008,897.23907471,11122.34375,86.122840881,189.21366882,1.6869347095,2.5967304707,0.5098377466,9.2667751312,11.353668213,3.9346246719,0.7916128635,9.0782775879,18706.667969,260.95269775,506951.375,363.52441406,363.52441406,0
3.565990448,1.3889434338,18690.015625,1900.7967529,5045.6347656,902.0869751,11115.03125,86.424812317,188.92941284,1.6813831329,2.4899044037,0.4935421646,8.5873317719,10.583694458,3.4922161102,0.708665967,8.980796814,18673.089844,261.19732666,271814.96875,370.73748779,370.73748779,0
3.9456160069,1.2373363972,18648.970703,1906.1057129,5049.6123047,907.07855225,11107.693359,86.698112488,188.66558838,1.6771044731,2.3133981228,0.3943638206,7.5638570786,9.4828910828,2.9176950455,0.5295938849,8.8730964661,18635.146484,261.41497803,109773.41406,378.0763855,378.0763855,0
4.4642305374,1.0299906731,18602.339844,1911.4135742,5053.4052734,912.1550293,11100.357422,86.966331482,188.42314148,1.6742179394,2.0658564568,0.2210605741,6.1700739861,8.0148696899,2.1945648193,0.2721087337,8.7518424988,18591.226563,261.59204102,22657.525391,385.58886719,385.58886719,0
5.0019817352,0.8552741408,18564.527344,1916.65271,5057.1381836,917.32250977,11092.96875,87.295700073,188.18405151,1.6714020967,1.8547840118,0.0681224763,5.0026426315,6.7893037796,1.60308671,0.0635506362,8.6305036545,18555.992188,261.75073242,129.90516663,393.01409912,393.01409912,0
5.3757748604,0.760001421,18548.449219,1921.8830566,5060.7177734,922.68103027,11085.588867,87.606124878,187.99804688,1.6713993549,1.6514091492,0.0290738083,4.444934845,6.0672698021,1.3468264341,0.0338702947,8.4737129211,18542.349609,261.74346924,19137.970703,400.77990723,400.77990723,0
5.4655375481,0.7013251185,18536.214844,1927.0935059,5064.3505859,928.09960938,11078.196289,87.929710388,187.81825256,1.6715817451,1.5217609406,0.0127652995,4.1051864624,5.6141819954,1.2327075005,0.0319195315,8.3131752014,18532.597656,261.71374512,67559.796875,408.51385498,408.51385498,0
5.3319716454,0.7373027205,18529.757813,1932.2828369,5067.9243164,933.60327148,11070.792969,88.266212463,187.65206909,1.6726815701,1.6644195318,0.0172973312,4.2483649254,5.8954873085,1.4702327251,0.043136552,8.1662101746,18528.328125,261.66220093,135288.09375,416.31292725,416.31292725,0
5.0719361305,0.8852052093,18533.494141,1937.4541016,5071.3134766,939.20935059,11063.386719,88.58631897,187.50854492,1.675465107,2.1569926739,0.0318044759,4.9331512451,7.0583395958,2.1459050179,0.0509815589,8.0458049774,18533.402344,261.55026245,202656.75,424.2829895,424.2829895,0
4.7758536339,1.0161062479,18533.101563,1942.536377,5074.6464844,944.91369629,11055.910156,88.786422729,187.36654663,1.6781609058,2.6146023273,0.0363857187,5.5172662735,8.0954828262,2.8024485111,0.0491315126,7.9259529114,18534.195313,261.41497803,309631.78125,432.14172363,432.14172363,0
